apartment_id,full_jibun_addr,latitude,longitude
7622,서울특별시 신교동 6-13,37.5835813,126.9678665
5399,서울특별시 필운동 142,37.5763329,126.9693403
3578,서울특별시 필운동 174-1,37.5782174,126.9697236
10957,서울특별시 내수동 95,37.5741801,126.9705622
10639,서울특별시 내수동 110-15,37.5732783,126.9704612
12536,서울특별시 인의동 48-2,37.57148249999999,126.9986668
333,서울특별시 이화동 9-1,37.5769664,127.007163
7808,서울특별시 명륜1가 45-5,37.586956,126.9988956
4117,서울특별시 명륜1가 33-85,37.5885585,126.9978229
7756,서울특별시 명륜2가 237,37.58561830000001,127.0002676
45,서울특별시 창신동 436-79,37.5700686,127.0106412
3626,서울특별시 창신동 232,37.5742172,127.0142876
10147,서울특별시 창신동 703,37.5803228,127.0117854
3080,서울특별시 창신동 328-17,37.5722682,127.0151883
10146,서울특별시 창신동 702,37.5805122,127.0140149
3130,서울특별시 숭인동 545,37.5783395,127.0203743
7095,서울특별시 숭인동 204-11,37.5721308,127.0205679
584,서울특별시 평창동 595,37.60470300000001,126.9636307
3970,서울특별시 평창동 72,37.6091348,126.9756811
12058,서울특별시 무악동 82,37.5753812,126.9608045
10459,서울특별시 누상동 40,37.5806942,126.966351
3926,서울특별시 수송동 85,37.57509599999999,126.9812249
12042,서울특별시 익선동 55,37.5751123,126.9900583
8840,서울특별시 익선동 30-6,37.5751021,126.9891365
3287,서울특별시 동숭동 4-157,37.5834662,127.0061558
6929,서울특별시 명륜1가 2-12,37.5906888,126.9977153
7754,서울특별시 명륜2가 4,37.5855417,126.9994142
436,서울특별시 창신동 601,37.5781955,127.0100009
5647,서울특별시 평창동 596,37.6109272,126.9786732
9333,서울특별시 평창동 145-5,37.6091251,126.9727035
5195,서울특별시 부암동 218-1,37.5946331,126.964011
7623,서울특별시 신교동 6-11,37.5834267,126.9681552
967,서울특별시 내수동 72,37.5735869,126.9720944
1814,서울특별시 낙원동 288,37.5722166,126.9876448
2476,서울특별시 명륜1가 36-5,37.5875327,126.9994588
7755,서울특별시 명륜2가 236,37.5861306,126.9987282
5312,서울특별시 창신동 23-76,37.5773786,127.0150299
443,서울특별시 창신동 602-1,37.5773558,127.0099103
3129,서울특별시 숭인동 494,37.578086,127.021462
8427,서울특별시 숭인동 888,37.5772985,127.0200424
7094,서울특별시 숭인동 569-3,37.5777545,127.0192626
4012,서울특별시 숭인동 76,37.5738513,127.0161779
3319,서울특별시 교북동 101,37.5714461,126.9620571
2503,서울특별시 행촌동 41-1,37.572717,126.9626012
4967,서울특별시 평창동 45,37.6081436,126.9737495
1313,서울특별시 신영동 105-22,37.601908,126.9623233
7291,서울특별시 필운동 254,37.5757904,126.9699711
968,서울특별시 내수동 73,37.5726204,126.9722454
6773,서울특별시 내수동 167,37.5727748,126.9732574
795,서울특별시 명륜1가 23,37.5878474,126.997894
1450,서울특별시 창신동 23-326,37.57931380000001,127.0106959
10149,서울특별시 창신동 23-816,37.5779924,127.0146963
2967,서울특별시 숭인동 181-121,37.5765131,127.0200142
12295,서울특별시 평창동 33-1,37.6075738,126.9733851
2579,서울특별시 신영동 254,37.6055192,126.9603408
7348,서울특별시 신문로1가 238,37.5713228,126.9729577
3873,서울특별시 명륜1가 19,37.5874591,126.9979953
442,서울특별시 창신동 601-8,37.5775887,127.0100385
3128,서울특별시 숭인동 482,37.5782186,127.0216386
2966,서울특별시 숭인동 820-1,37.5769406,127.0210036
49,서울특별시 명륜1가 5-89,37.5905149,126.997092
5929,서울특별시 창신동 638-45,37.5758833,127.009338
3134,서울특별시 창신동 436-41,37.5704486,127.0113879
10431,서울특별시 청운동 56-45,37.58620459999999,126.9673817
2512,서울특별시 견지동 110,37.5724239,126.9825272
10618,서울특별시 평창동 46-1,37.6085199,126.9742728
1247,서울특별시 사직동 9,37.5744169,126.9688811
1248,서울특별시 사직동 9-1,37.5735471,126.9677629
438,서울특별시 창신동 601-2,37.577953,127.0100191
5000,서울특별시 부암동 235-2,37.59337439999999,126.9645037
7093,서울특별시 숭인동 569-2,37.5776692,127.0190983
9295,서울특별시 무악동 60,37.5770008,126.9574454
12331,서울특별시 혜화동 20-12,37.5881834,127.0010669
12543,서울특별시 통인동 5-1,37.5810037,126.9708307
444,서울특별시 창신동 601-6,37.5775674,127.009542
9775,서울특별시 숭인동 2-1,37.5809769,127.0159279
11378,서울특별시 명륜3가 1-30,37.5894163,126.9949101
3286,서울특별시 동숭동 4-161,37.5834366,127.0062549
4550,서울특별시 당주동 145,37.57136550000001,126.9737046
11025,서울특별시 구기동 95-15,37.6068467,126.9579637
3876,서울특별시 구기동 95-1,37.607011,126.9573243
9779,서울특별시 숭인동 766,37.5760301,127.0211514
3979,서울특별시 평창동 108,37.6099787,126.9773999
6771,서울특별시 당주동 100,37.5718638,126.9733154
440,서울특별시 창신동 601-4,37.5777627,127.009732
6579,서울특별시 창신동 640-252,37.5751168,127.0095272
10665,서울특별시 숭인동 178-76,37.5750135,127.0201181
